Session,Subject,PressRate,Stress,Contingency
4,control_deg_6,19.158397453532185,Control,Degraded
4,control_non_deg_0,24.520473937323434,Control,Non-degraded
4,control_non_deg_1,9.965343930941136,Control,Non-degraded
4,control_non_deg_2,12.111252316524185,Control,Non-degraded
4,control_non_deg_3,16.717107794964956,Control,Non-degraded
4,control_non_deg_4,21.148622381886746,Control,Non-degraded
4,control_non_deg_5,13.934133903641408,Control,Non-degraded
4,control_non_deg_6,15.361565669487403,Control,Non-degraded
4,stress_deg_0,15.21540354085014,Stress,Degraded
4,stress_deg_1,12.848090781270834,Stress,Degraded
4,stress_deg_2,14.37480503477267,Stress,Degraded
4,stress_deg_3,14.13847586604806,Stress,Degraded
4,stress_deg_4,14.002072532188473,Stress,Degraded
4,stress_deg_5,14.014831158621545,Stress,Degraded
4,stress_deg_6,16.46077746210916,Stress,Degraded
4,stress_deg_7,11.184854826775442,Stress,Degraded
4,stress_non_deg_0,2.5430199167407337,Stress,Non-degraded
4,stress_non_deg_1,14.16016912156869,Stress,Non-degraded
4,stress_non_deg_2,22.492195446653316,Stress,Non-degraded
4,stress_non_deg_3,16.379913484401527,Stress,Non-degraded
4,stress_non_deg_4,9.586786621660595,Stress,Non-degraded
4,stress_non_deg_5,18.59484073393765,Stress,Non-degraded
4,stress_non_deg_6,22.529601603121403,Stress,Non-degraded
